Course Name,Course code,School,Admission type,Cut off Point,Course duration,Field of study,Certification offered,Website
Architecture,S66,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-13,3 years,Built Environment,Diploma in Architecture,https://www.sp.edu.sg/abe/courses/full-time-diplomas/architecture
Architecture,C38,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-14,3 years,Built Environment,Diploma in Architecture,https://www.nyp.edu.sg/schools/sdm/full-time-courses/architecture.html
Arts and Theatre Management,R25,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-20,3 years,Media and Design,Diploma in Arts and Theatre Management,https://www.rp.edu.sg/STA/full-time-diplomas/Details/r25
Arts Business Management,N91,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-13,3 years,Business and Management,Diploma in Arts Business Management,https://www.np.edu.sg/hms/Pages/abm.aspx
Automation and Mechatronic Systems,N50,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-19,3 years,Engineering,Diploma in Automation and Mechatronic Systems,https://www.np.edu.sg/soe/Pages/ams.aspx
Aviation Management,T04,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",6-14,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/aviation-management
Aviation Management,R39,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",16-25,3 years,Business and Management,Diploma in Aviation Management,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r39
Banking and Finance,S76,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-12,3 years,Business and Management,Diploma in Banking and Finance,https://www.sp.edu.sg/sb/courses/full-time-diplomas/banking-finance
Banking and Finance,N53,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-11,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.np.edu.sg/ba/Pages/bf.aspx
Banking and Finance,C96,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",8-13,3 years,Business and Management,Diploma in Banking and Finance,https://www.nyp.edu.sg/schools/sbm/full-time-courses/banking-and-finance.html
Big Data and Analytics,T60,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",6-12,3 years,Information and Digital Technologies,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/iit/big-data-and-analytics
Biologics and Process Technology,C49,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",8-11,3 years,Applied Sciences,Diploma in Biologics and Process Technology,https://www.nyp.edu.sg/schools/sas/full-time-courses/biologics-and-process-technology.html
Biomedical Engineering,T38,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",6-13,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/biomedical-engineering
Biomedical Engineering,N60,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",7-11,3 years,Engineering,Diploma in Biomedical Engineering,https://www.np.edu.sg/soe/Pages/bme.aspx
